State,Car Sales,Year
Alabama,224571.22729185823,2016
Alaska,33671.8029772345,2016
Arizona,414593.61742482404,2016
Arkansas,121553.15181872866,2016
California,2104668.7715520747,2016
Colorado,245047.13611427727,2016
Connecticut,171272.78744077415,2016
Delaware,55225.39121135981,2016
Florida,1502899.6548055368,2016
Georgia,535515.8094006333,2016
Hawaii,83695.56124356712,2016
Idaho,86373.35481691688,2016
Illinois,587340.3270586578,2016
Indiana,276395.7449498827,2016
Iowa,138197.87247494134,2016
Kansas,120538.56839131433,2016
Kentucky,153882.27225023077,2016
Louisiana,249523.16523994718,2016
Maine,66435.02378066514,2016
Maryland,309396.20665425103,2016
Massachusetts,351804.279616547,2016
Michigan,621890.4261372361,2016
Minnesota,246548.82054042534,2016
Mississippi,123500.29389397781,2016
Missouri,328220.2626079071,2016
Montana,71762.84869427621,2016
Nebraska,88569.09507027625,2016
Nevada,156734.2107402263,2016
New Hampshire,118399.6145238177,2016
New Jersey,577636.1646745581,2016
New Mexico,88151.39965426363,2016
New York,984659.5259040357,2016
North Carolina,486058.65307324234,2016
North Dakota,35950.82992985923,2016
Ohio,604614.745638104,2016
Oklahoma,483692.55366229475,2016
Oregon,190022.3901329658,2016
Pennsylvania,662699.6468575743,2016
Rhode Island,53360.27391569019,2016
South Carolina,243997.21893565945,2016
South Dakota,33146.8443879256,2016
Tennessee,293670.1635293289,2016
Texas,1658373.2077796105,2016
Utah,172746.70963383376,2016
Vermont,51824.517658024466,2016
Virginia,380043.5183462458,2016
Washington,338687.8864019394,2016
West Virginia,85733.56153619665,2016
Wisconsin,241984.4570367467,2016
Wyoming,17129.297815574755,2016
Alabama,220327.96906074954,2017
Alaska,33035.576525331424,2017
Arizona,406759.8989163677,2017
Arkansas,119256.41319289527,2017
California,2064901.1967102664,2017
Colorado,240416.98696353516,2017
Connecticut,168036.5996448706,2017
Delaware,54181.91115984257,2017
Florida,1474502.4669391857,2017
Georgia,525397.2742101261,2017
Hawaii,82114.13924469068,2017
Idaho,84741.33608862702,2017
Illinois,576242.5710936217,2017
Indiana,271173.2659442451,2017
Iowa,135586.63297212255,2017
Kansas,118261.00025108339,2017
Kentucky,150974.6770688637,2017
Louisiana,244808.4418200112,2017
Maine,65179.73847590594,2017
Maryland,303550.186144895,2017
Massachusetts,345156.9614216738,2017
Michigan,610139.8483745515,2017
Minnesota,241890.2971634806,2017
Mississippi,121166.76414963126,2017
Missouri,322018.56282774056,2017
Montana,70406.8944962166,2017
Nebraska,86895.58797762288,2017
Nevada,153772.72837296178,2017
New Hampshire,116162.46177300983,2017
New Jersey,566721.7682048986,2017
New Mexico,86485.78488839437,2017
New York,966054.4504074235,2017
North Carolina,476874.60752419167,2017
North Dakota,35271.541417013344,2017
Ohio,593190.5906961875,2017
Oklahoma,474553.2154024289,2017
Oregon,186431.92985561807,2017
Pennsylvania,650177.9816149177,2017
Rhode Island,52352.03512999436,2017
South Carolina,239386.9078993716,2017
South Dakota,32520.536993249658,2017
Tennessee,288121.28554681083,2017
Texas,1627038.3575896723,2017
Utah,169482.67217725405,2017
Vermont,50845.296883495525,2017
Virginia,372862.6216354379,2017
Washington,332288.4015744192,2017
West Virginia,84113.63165890236,2017
Wisconsin,237412.1770011254,2017
Wyoming,16805.6408857643,2017
Alabama,221343.7793645604,2018
Alaska,33187.88528199913,2018
Arizona,408635.2436502102,2018
Arkansas,119806.23850029173,2018
California,2074421.31311179,2018
Colorado,241525.41660871275,2018
Connecticut,168811.32338995053,2018
Delaware,54431.71396005426,2018
Florida,1481300.5816102212,2018
Georgia,527819.5902102778,2018
Hawaii,82492.72208684594,2018
Idaho,85132.03148115701,2018
Illinois,578899.3066125242,2018
Indiana,272423.49576680677,2018
Iowa,136211.74788340338,2018
Kansas,118806.23626041137,2018
Kentucky,151670.73773349397,2018
Louisiana,245937.11803266252,2018
Maine,65480.24617007556,2018
Maryland,304949.6880244075,2018
Massachusetts,346748.28911074944,2018
Michigan,612952.8654753153,2018
Minnesota,243005.51942644612,2018
Mississippi,121725.39702782329,2018
Missouri,323503.21216905315,2018
Montana,70731.50171332783,2018
Nebraska,87296.21543313687,2018
Nevada,154481.6893033069,2018
New Hampshire,116698.02258305169,2018
New Jersey,569334.6085718776,2018
New Mexico,86884.52296870851,2018
New York,970508.3927232791,2018
North Carolina,479073.2123677522,2018
North Dakota,35434.15897008857,2018
Ohio,595925.4641519795,2018
Oklahoma,476741.11759191187,2018
Oregon,187291.4642856498,2018
Pennsylvania,653175.5923851293,2018
Rhode Island,52593.401384751836,2018
South Carolina,240490.58842017988,2018
South Dakota,32670.47118773268,2018
Tennessee,289449.6533062621,2018
Texas,1634539.73081696,2018
Utah,170264.06296231403,2018
Vermont,51079.716402246384,2018
Virginia,374581.6847874191,2018
Washington,333820.3994573709,2018
West Virginia,84501.43305376978,2018
Wisconsin,238506.753130865,2018
Wyoming,16883.12239320377,2018
Alabama,219340.74288738644,2019
Alaska,32887.55362139881,2019
Arizona,404937.3249590229,2019
Arkansas,118722.05955206008,2019
California,2055648.9691538133,2019
Colorado,239339.7476867275,2019
Connecticut,167283.67603757943,2019
Delaware,53939.13762070518,2019
Florida,1467895.6460518679,2019
Georgia,523043.120342485,2019
Hawaii,81746.2094361824,2019
Idaho,84361.63456771213,2019
Illinois,573660.5940944472,2019
Indiana,269958.2166393486,2019
Iowa,134979.1083196743,2019
Kansas,117731.10676895455,2019
Kentucky,150298.20302268243,2019
Louisiana,243711.52569876143,2019
Maine,64887.686840016555,2019
Maryland,302190.0651853592,2019
Massachusetts,343610.41248516535,2019
Michigan,607405.9874385343,2019
Minnesota,240806.45640799063,2019
Mississippi,120623.85077635339,2019
Missouri,320575.6903913108,2019
Montana,70091.42147965774,2019
Nebraska,86506.23387443305,2019
Nevada,153083.71706474523,2019
New Hampshire,115641.97123740746,2019
New Jersey,564182.4511814106,2019
New Mexico,86098.2669948212,2019
New York,961725.838645595,2019
North Carolina,474737.8697511024,2019
North Dakota,35113.49979837464,2019
Ohio,590532.6745023222,2019
Oklahoma,472426.87911886006,2019
Oregon,185596.58207163648,2019
Pennsylvania,647264.7213351134,2019
Rhode Island,52117.4607383296,2019
South Carolina,238314.28411018048,2019
South Dakota,32374.82183312531,2019
Tennessee,286830.2970472236,2019
Texas,1619748.0673077544,2019
Utah,168723.26913542426,2019
Vermont,50617.47375196216,2019
Virginia,371191.93161493575,2019
Washington,330799.512948351,2019
West Virginia,83736.7427007538,2019
Wisconsin,236348.40141235298,2019
Wyoming,16730.33964909746,2019
Alabama,187315.60003973983,2020
Alaska,28085.76172095065,2020
Arizona,345813.90126014943,2020
Arkansas,101387.8841213076,2020
California,1755511.151550232,2020
Colorado,204394.6230013313,2020
Connecticut,142859.19588555658,2020
Delaware,46063.68062788904,2020
Florida,1253573.5500681538,2020
Georgia,446675.4996991696,2020
Hawaii,69810.74318406217,2020
Idaho,72044.29961968999,2020
Illinois,489902.5004995294,2020
Indiana,230542.60084009965,2020
Iowa,115271.30042004983,2020
Kansas,100541.6167441894,2020
Kentucky,128353.70991035059,2020
Louisiana,208128.09363147826,2020
Maine,55413.67205940741,2020
Maryland,258068.39459509647,2020
Massachusetts,293441.1078729988,2020
Michigan,518720.85189022415,2020
Minnesota,205647.18292517535,2020
Mississippi,103012.00173684656,2020
Missouri,273769.60164045944,2020
Montana,59857.62836064241,2020
Nebraska,73875.77379405023,2020
Nevada,130732.52119428974,2020
New Hampshire,98757.50828123504,2020
New Jersey,481808.2267059489,2020
New Mexico,73527.37267237596,2020
New York,821307.7523500138,2020
North Carolina,405423.12277875224,2020
North Dakota,29986.705605372823,2020
Ohio,504311.1499091945,2020
Oklahoma,403449.5514701744,2020
Oregon,158498.30122040963,2020
Pennsylvania,552759.9572492101,2020
Rhode Island,44507.98015104742,2020
South Carolina,203518.883626005,2020
South Dakota,27647.892033287513,2020
Tennessee,244951.2502497647,2020
Texas,1383254.5524692333,2020
Utah,144088.59923937998,2020
Vermont,43227.00080035983,2020
Virginia,316995.54986945476,2020
Washington,282500.6811096078,2020
West Virginia,71510.64593785055,2020
Wisconsin,201840.0322995081,2020
Wyoming,14287.603702738976,2020
Alabama,193791.32643474272,2021
Alaska,29056.720404912565,2021
Arizona,357769.10524569143,2021
Arkansas,104892.98565689007,2021
California,1816201.291070934,2021
Colorado,211460.79183556393,2021
Connecticut,147798.01072729277,2021
Delaware,47656.15766893485,2021
Florida,1296911.100835584,2021
Georgia,462117.6108889977,2021
Hawaii,72224.18484186265,2021
Idaho,74534.95801951225,2021
Illinois,506839.0212847159,2021
Indiana,238512.73683046096,2021
Iowa,119256.36841523048,2021
Kansas,104017.46179504735,2021
Kentucky,132791.05259289633,2021
Louisiana,215323.33305192733,2021
Maine,57329.38959026447,2021
Maryland,266990.1305009204,2021
Massachusetts,303585.7211739141,2021
Michigan,536653.6578685371,2021
Minnesota,212756.65426789335,2021
Mississippi,106573.25097880966,2021
Missouri,283234.1472261792,2021
Montana,61926.978824966,2021
Nebraska,76429.74846678384,2021
Nevada,135252.10225429508,2021
New Hampshire,102171.67454899829,2021
New Jersey,498464.9186757973,2021
New Mexico,76069.30269779138,2021
New York,849701.3527185103,2021
North Carolina,419439.0895042459,2021
North Dakota,31023.382213977216,2021
Ohio,521745.79509661294,2021
Oklahoma,417397.2894533067,2021
Oregon,163977.77881094872,2021
Pennsylvania,571869.5361871095,2021
Rhode Island,46046.674748781166,2021
South Carolina,210554.77709296046,2021
South Dakota,28603.713033610853,2021
Tennessee,253419.51064235796,2021
Texas,1431075.3320227386,2021
Utah,149069.9160390245,2021
Vermont,44721.410395718216,2021
Virginia,327954.4686618703,2021
Washington,292267.07065153425,2021
West Virginia,73982.85528573829,2021
Wisconsin,208817.8858496282,2021
Wyoming,14781.543408772746,2021
Alabama,177960.0,2022
Alaska,26683.0,2022
Arizona,328542.0,2022
Arkansas,96324.0,2022
California,1667831.0,2022
Colorado,194186.0,2022
Connecticut,135724.0,2022
Delaware,43763.0,2022
Florida,1190963.0,2022
Georgia,424366.0,2022
Hawaii,66324.0,2022
Idaho,68446.0,2022
Illinois,465434.0,2022
Indiana,219028.0,2022
Iowa,109514.0,2022
Kansas,95520.0,2022
Kentucky,121943.0,2022
Louisiana,197733.0,2022
Maine,52646.0,2022
Maryland,245179.0,2022
Massachusetts,278785.0,2022
Michigan,492813.0,2022
Minnesota,195376.0,2022
Mississippi,97867.0,2022
Missouri,260096.0,2022
Montana,56868.0,2022
Nebraska,70186.0,2022
Nevada,124203.0,2022
New Hampshire,93825.0,2022
New Jersey,457744.0,2022
New Mexico,69855.0,2022
New York,780287.0,2022
North Carolina,385174.0,2022
North Dakota,28489.0,2022
Ohio,479123.0,2022
Oklahoma,383299.0,2022
Oregon,150582.0,2022
Pennsylvania,525152.0,2022
Rhode Island,42285.0,2022
South Carolina,193354.0,2022
South Dakota,26267.0,2022
Tennessee,232717.0,2022
Texas,1314167.0,2022
Utah,136892.0,2022
Vermont,41068.0,2022
Virginia,301163.0,2022
Washington,268391.0,2022
West Virginia,67939.0,2022
Wisconsin,191759.0,2022
Wyoming,13574.000000000002,2022
