State,2016,2017,2018,2019,2020,2021,2022
Alabama,,,,,,,
Alaska,0,0,0,0,0,0,0
Arizona,,,,,,,
Arkansas,,,,,,,
California,2000,2000,2000,2000,2000,2000,2000
Colorado,5000,5000,5000,5000,5000,5000,5000
Connecticut,0,0,0,1125,2250,2250,2250
Delaware,2200,3500,3500,3500,2500,2500,2500
Florida,,,,,,,
Georgia,,,,,,,
Hawaii,,,,,,,
Idaho,,,,,,,
Illinois,0,0,0,0,0,0,2000
Indiana,,,,,,,
Iowa,,,,,,,
Kansas,0,0,0,0,0,0,0
Kentucky,,,,,,,
Louisiana,0,0,0,0,0,0,0
Maine,0,0,0,0,0,1000,1000
Maryland,0,1500,3000,3000,1500,0,0
Massachusetts,2500,2500,2500,2500,2500,2500,2500
Michigan,,,,,,,
Minnesota,,,,,,,
Mississippi,,,,,,,
Missouri,,,,,,,
Montana,,,,,,,
Nebraska,,,,,,,
Nevada,,,,,,,
New Hampshire,,,,,,,
New Jersey,,2600,2600,2600,2600,4600,6600
New Mexico,,,,,,,
New York,,1333,2000,2000,2000,2000,2000
North Carolina,,,,,,,
North Dakota,,,,,,,
Ohio,,,,,,,
Oklahoma,0,0,0,0,0,0,0
Oregon,0,937.5,2500,2500,2500,2500,2500
Pennsylvania,2000,2000,2000,2000,2000,2000,2000
Rhode Island,0,0,0,0,0,0,1250
South Carolina,0,0,0,0,0,0,0
South Dakota,,,,,,,
Tennessee,,,,,,,
Texas,0,1250,2500,2500,2500,2500,2500
Utah,1500,0,0,0,0,0,0
Vermont,0,0,0,1250,2500,2500,2500
Virginia,0,0,0,0,0,0,2500
Washington,,,,,,,
West Virginia,,,,,,,
Wisconsin,,,,,,,
Wyoming,,,,,,,
